Id,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance
1,14891,3606,283,2,34,11, Male,No,Yes,Caucasian,333
2,106025,6645,483,3,82,15,Female,Yes,Yes,Asian,903
3,104593,7075,514,4,71,11, Male,No,No,Asian,580
4,148924,9504,681,3,36,11,Female,No,No,Asian,964
5,55882,4897,357,2,68,16, Male,No,Yes,Caucasian,331
6,8018,8047,569,4,77,10, Male,No,No,Caucasian,1151
7,20996,3388,259,2,37,12,Female,No,No,African American,203
8,71408,7114,512,2,87,9, Male,No,No,Asian,872
9,15125,3300,266,5,66,13,Female,No,No,Caucasian,279
10,71061,6819,491,3,41,19,Female,Yes,Yes,African American,1350
11,63095,8117,589,4,30,14, Male,No,Yes,Caucasian,1407
12,15045,1311,138,3,64,16, Male,No,No,Caucasian,0
13,80616,5308,394,1,57,7,Female,No,Yes,Asian,204
14,43682,6922,511,1,49,9, Male,No,Yes,Caucasian,1081
15,19144,3291,269,2,75,13,Female,No,No,African American,148
16,20089,2525,200,3,57,15,Female,No,Yes,African American,0
17,53598,3714,286,3,73,17,Female,No,Yes,African American,0
18,36496,4378,339,3,69,15,Female,No,Yes,Asian,368
19,4957,6384,448,1,28,9,Female,No,Yes,Asian,891
20,42079,6626,479,2,44,9, Male,No,No,Asian,1048
21,177,2860,235,4,63,16,Female,No,No,Asian,89
22,37348,6378,458,1,72,17,Female,No,No,Caucasian,968
23,20103,2631,213,3,61,10, Male,No,Yes,African American,0
24,64027,5179,398,5,48,8, Male,No,Yes,African American,411
25,10742,1757,156,3,57,15,Female,No,No,Caucasian,0
26,1409,4323,326,5,25,16,Female,No,Yes,African American,671
27,42471,3625,289,6,44,12,Female,Yes,No,Caucasian,654
28,32793,4534,333,2,44,16, Male,No,No,African American,467
29,186634,13414,949,2,41,14,Female,No,Yes,African American,1809
30,26813,5611,411,4,55,16,Female,No,No,Caucasian,915
31,34142,5666,413,4,47,5,Female,No,Yes,Caucasian,863
32,28941,2733,210,5,43,16, Male,No,Yes,Asian,0
33,134181,7838,563,2,48,13,Female,No,No,Caucasian,526
34,31367,1829,162,4,30,10, Male,No,Yes,Caucasian,0
35,2015,2646,199,2,25,14,Female,No,Yes,Asian,0
36,2335,2558,220,3,49,12,Female,Yes,No,Caucasian,419
37,62413,6457,455,2,71,11,Female,No,Yes,Caucasian,762
38,30007,6481,462,2,69,9,Female,No,Yes,Caucasian,1093
39,11795,3899,300,4,25,10,Female,No,No,Caucasian,531
40,13647,3461,264,4,47,14, Male,No,Yes,Caucasian,344
41,3495,3327,253,3,54,14,Female,No,No,African American,50
42,113659,7659,538,2,66,15, Male,Yes,Yes,African American,1155
43,44158,4763,351,2,66,13,Female,No,Yes,Asian,385
44,36929,6257,445,1,24,14,Female,No,Yes,Asian,976
45,31861,6375,469,3,25,16,Female,No,Yes,Caucasian,1120
46,7738,7569,564,3,50,12,Female,No,Yes,Caucasian,997
47,19531,5043,376,2,64,16,Female,Yes,Yes,Asian,1241
48,44646,4431,320,2,49,15, Male,Yes,Yes,Caucasian,797
49,44522,2252,205,6,72,15, Male,No,Yes,Asian,0
50,43479,4569,354,4,49,13, Male,Yes,Yes,African American,902
51,36362,5183,376,3,49,15, Male,No,Yes,African American,654
52,39705,3969,301,2,27,20, Male,No,Yes,African American,211
53,44205,5441,394,1,32,12, Male,No,Yes,Caucasian,607
54,16304,5466,413,4,66,10, Male,No,Yes,Asian,957
55,15333,1499,138,2,47,9,Female,No,Yes,Asian,0
56,32916,1786,154,2,60,8,Female,No,Yes,Asian,0
57,571,4742,372,7,79,18,Female,No,Yes,Asian,379
58,76273,4779,367,4,65,14,Female,No,Yes,Caucasian,133
59,10354,3480,281,2,70,17, Male,No,Yes,Caucasian,333
60,51872,5294,390,4,81,17,Female,No,No,Caucasian,531
61,3551,5198,364,2,35,20,Female,No,No,Asian,631
62,21238,3089,254,3,59,10,Female,No,No,Caucasian,108
63,30682,1671,160,2,77,7,Female,No,No,Caucasian,0
64,14132,2998,251,4,75,17, Male,No,No,Caucasian,133
65,32164,2937,223,2,79,15,Female,No,Yes,African American,0
66,12,4160,320,4,28,14,Female,No,Yes,Caucasian,602
67,113829,9704,694,4,38,13,Female,No,Yes,Asian,1388
68,11187,5099,380,4,69,16,Female,No,No,African American,889
69,27847,5619,418,2,78,15,Female,No,Yes,Caucasian,822
70,49502,6819,505,4,55,14, Male,No,Yes,Caucasian,1084
71,24889,3954,318,4,75,12, Male,No,Yes,Caucasian,357
72,58781,7402,538,2,81,12,Female,No,Yes,Asian,1103
73,22939,4923,355,1,47,18,Female,No,Yes,Asian,663
74,23989,4523,338,4,31,15, Male,No,No,Caucasian,601
75,16103,5390,418,4,45,10,Female,No,Yes,Caucasian,945
76,33017,3180,224,2,28,16, Male,No,Yes,African American,29
77,30622,3293,251,1,68,16, Male,Yes,No,Caucasian,532
78,20936,3254,253,1,30,15,Female,No,No,Asian,145
79,110968,6662,468,3,45,11,Female,No,Yes,Caucasian,391
80,15354,2101,171,2,65,14, Male,No,No,Asian,0
81,27369,3449,288,3,40,9,Female,No,Yes,Caucasian,162
82,5348,4263,317,1,83,15, Male,No,No,Caucasian,99
83,23672,4433,344,3,63,11, Male,No,No,Caucasian,503
84,19225,1433,122,3,38,14,Female,No,No,Caucasian,0
85,4354,2906,232,4,69,11, Male,No,No,Caucasian,0
86,152298,12066,828,4,41,12,Female,No,Yes,Asian,1779
87,55367,6340,448,1,33,15, Male,No,Yes,Caucasian,815
88,11741,2271,182,4,59,12,Female,No,No,Asian,0
89,1556,4307,352,4,57,8, Male,No,Yes,African American,579
90,5953,7518,543,3,52,9,Female,No,No,African American,1176
91,20191,5767,431,4,42,16, Male,No,Yes,African American,1023
92,48498,6040,456,3,47,16, Male,No,Yes,Caucasian,812
93,30733,2832,249,4,51,13, Male,No,No,Caucasian,0
94,16479,5435,388,2,26,16, Male,No,No,African American,937
95,38009,3075,245,3,45,15,Female,No,No,African American,0
96,14084,855,120,5,46,17,Female,No,Yes,African American,0
97,14312,5382,367,1,59,17, Male,Yes,No,Asian,1380
98,26067,3388,266,4,74,17,Female,No,Yes,African American,155
99,36295,2963,241,2,68,14,Female,Yes,No,African American,375
100,83851,8494,607,5,47,18, Male,No,No,Caucasian,1311
101,21153,3736,256,1,41,11, Male,No,No,Caucasian,298
102,17976,2433,190,3,70,16,Female,Yes,No,Caucasian,431
103,68713,7582,531,2,56,16, Male,Yes,No,Caucasian,1587
104,146183,9540,682,6,66,15, Male,No,No,Caucasian,1050
105,15846,4768,365,4,53,12,Female,No,No,Caucasian,745
106,12031,3182,259,2,58,18,Female,No,Yes,Caucasian,210
107,16819,1337,115,2,74,15, Male,No,Yes,Asian,0
108,3911,3189,263,3,72,12, Male,No,No,Asian,0
109,107986,6033,449,4,64,14, Male,No,Yes,Caucasian,227
110,13561,3261,279,5,37,19, Male,No,Yes,Asian,297
111,34537,3271,250,3,57,17,Female,No,Yes,Asian,47
112,28575,2959,231,2,60,11,Female,No,No,African American,0
113,46007,6637,491,4,42,14, Male,No,Yes,Caucasian,1046
114,69251,6386,474,4,30,12,Female,No,Yes,Asian,768
115,16482,3326,268,4,41,15, Male,No,No,Caucasian,271
116,40442,4828,369,5,81,8,Female,No,No,African American,510
117,35177,2117,186,3,62,16,Female,No,No,Caucasian,0
118,91362,9113,626,1,47,17, Male,No,Yes,Asian,1341
119,27039,2161,173,3,40,17,Female,No,No,Caucasian,0
120,23012,1410,137,3,81,16, Male,No,No,Caucasian,0
121,27241,1402,128,2,67,15,Female,No,Yes,Asian,0
122,14808,8157,599,2,83,13, Male,No,Yes,Caucasian,454
123,62602,7056,481,1,84,11,Female,No,No,Caucasian,904
124,11808,1300,117,3,77,14,Female,No,No,African American,0
125,29564,2529,192,1,30,12,Female,No,Yes,Caucasian,0
126,27578,2531,195,1,34,15,Female,No,Yes,Caucasian,0
127,26427,5533,433,5,50,15,Female,Yes,Yes,Asian,1404
128,57202,3411,259,3,72,11,Female,No,No,Caucasian,0
129,123299,8376,610,2,89,17, Male,Yes,No,African American,1259
130,18145,3461,279,3,56,15, Male,No,Yes,African American,255
131,23793,3821,281,4,56,12,Female,Yes,Yes,African American,868
132,10726,1568,162,5,46,19, Male,No,Yes,Asian,0
133,23283,5443,407,4,49,13, Male,No,Yes,African American,912
134,21455,5829,427,4,80,12,Female,No,Yes,African American,1018
135,34664,5835,452,3,77,15,Female,No,Yes,African American,835
136,44473,3500,257,3,81,16,Female,No,No,African American,8
137,54663,4116,314,2,70,8,Female,No,No,African American,75
138,36355,3613,278,4,35,9, Male,No,Yes,Asian,187
139,21374,2073,175,2,74,11,Female,No,Yes,Caucasian,0
140,107841,10384,728,3,87,7, Male,No,No,African American,1597
141,39831,6045,459,3,32,12,Female,Yes,Yes,African American,1425
142,91876,6754,483,2,33,10, Male,No,Yes,Caucasian,605
143,103893,7416,549,3,84,17, Male,No,No,Asian,669
144,19636,4896,387,3,64,10,Female,No,No,African American,710
145,17392,2748,228,3,32,14, Male,No,Yes,Caucasian,68
146,19529,4673,341,2,51,14, Male,No,No,Asian,642
147,17055,5110,371,3,55,15,Female,No,Yes,Caucasian,805
148,23857,1501,150,3,56,16, Male,No,Yes,Caucasian,0
149,15184,2420,192,2,69,11,Female,No,Yes,Caucasian,0
150,13444,886,121,5,44,10, Male,No,Yes,Asian,0
151,63931,5728,435,3,28,14,Female,No,Yes,African American,581
152,35864,4831,353,3,66,13,Female,No,Yes,Caucasian,534
153,41419,2120,184,4,24,11,Female,Yes,No,Caucasian,156
154,92112,4612,344,3,32,17, Male,No,No,Caucasian,0
155,55056,3155,235,2,31,16, Male,No,Yes,African American,0
156,19537,1362,143,4,34,9,Female,No,Yes,Asian,0
157,31811,4284,338,5,75,13,Female,No,Yes,Caucasian,429
158,56256,5521,406,2,72,16,Female,Yes,Yes,Caucasian,1020
159,42357,5550,406,2,83,12,Female,No,Yes,Asian,653
160,53319,3000,235,3,53,13, Male,No,No,Asian,0
161,12238,4865,381,5,67,11,Female,No,No,Caucasian,836
162,31353,1705,160,3,81,14, Male,No,Yes,Caucasian,0
163,63809,7530,515,1,56,12, Male,No,Yes,Caucasian,1086
164,13676,2330,203,5,80,16,Female,No,No,African American,0
165,76782,5977,429,4,44,12, Male,No,Yes,Asian,548
166,25383,4527,367,4,46,11, Male,No,Yes,Caucasian,570
167,35691,2880,214,2,35,15, Male,No,No,African American,0
168,29403,2327,178,1,37,14,Female,No,Yes,Caucasian,0
169,2747,2820,219,1,32,11,Female,No,Yes,Asian,0
170,2733,6179,459,4,36,12,Female,No,Yes,Caucasian,1099
171,34772,2021,167,3,57,9, Male,No,No,Asian,0
172,36934,4270,299,1,63,9,Female,No,Yes,Caucasian,283
173,76348,4697,344,4,60,18, Male,No,No,Asian,108
174,14887,4745,339,3,58,12, Male,No,Yes,African American,724
175,121834,10673,750,3,54,16, Male,No,No,African American,1573
176,30132,2168,206,3,52,17, Male,No,No,Caucasian,0
177,2405,2607,221,4,32,18, Male,No,Yes,Caucasian,0
178,22379,3965,292,2,34,14,Female,No,Yes,Asian,384
179,28316,4391,316,2,29,10,Female,No,No,Caucasian,453
180,58026,7499,560,5,67,11,Female,No,No,Caucasian,1237
181,10635,3584,294,5,69,16, Male,No,Yes,Asian,423
182,46102,5180,382,3,81,12, Male,No,Yes,African American,516
183,58929,6420,459,2,66,9,Female,No,Yes,African American,789
184,80861,4090,335,3,29,15,Female,No,Yes,Asian,0
185,158889,11589,805,1,62,17,Female,No,Yes,Caucasian,1448
186,3042,4442,316,1,30,14,Female,No,No,African American,450
187,36472,3806,309,2,52,13, Male,No,No,African American,188
188,23365,2179,167,2,75,15, Male,No,No,Asian,0
189,83869,7667,554,2,83,11, Male,No,No,African American,930
190,58351,4411,326,2,85,16,Female,No,Yes,Caucasian,126
191,55187,5352,385,4,50,17,Female,No,Yes,Caucasian,538
192,12429,9560,701,3,52,17,Female,Yes,No,Asian,1687
193,28508,3933,287,4,56,14, Male,No,Yes,Asian,336
194,130209,10088,730,7,39,19,Female,No,Yes,Caucasian,1426
195,30406,2120,181,2,79,14, Male,No,Yes,African American,0
196,23883,5384,398,2,73,16,Female,No,Yes,African American,802
197,93039,7398,517,1,67,12, Male,No,Yes,African American,749
198,50699,3977,304,2,84,17,Female,No,No,African American,69
199,27349,2000,169,4,51,16,Female,No,Yes,African American,0
200,10403,4159,310,3,43,7, Male,No,Yes,Asian,571
201,23949,5343,383,2,40,18, Male,No,Yes,African American,829
202,73914,7333,529,6,67,15,Female,No,Yes,Caucasian,1048
203,21038,1448,145,2,58,13,Female,No,Yes,Caucasian,0
204,68206,6784,499,5,40,16,Female,Yes,No,African American,1411
205,57337,5310,392,2,45,7,Female,No,No,Caucasian,456
206,10793,3878,321,8,29,13, Male,No,No,Caucasian,638
207,2345,2450,180,2,78,13, Male,No,No,Caucasian,0
208,10842,4391,358,5,37,10,Female,Yes,Yes,Caucasian,1216
209,51345,4327,320,3,46,15, Male,No,No,African American,230
210,151947,9156,642,2,91,11,Female,No,Yes,African American,732
211,24543,3206,243,2,62,12,Female,No,Yes,Caucasian,95
212,29567,5309,397,3,25,15, Male,No,No,Caucasian,799
213,39145,4351,323,2,66,13, Male,No,Yes,Caucasian,308
214,39422,5245,383,2,44,19, Male,No,No,African American,637
215,34909,5289,410,2,62,16,Female,No,Yes,Caucasian,681
216,41025,4229,337,3,79,19,Female,No,Yes,Caucasian,246
217,15476,2762,215,3,60,18, Male,No,No,Asian,52
218,12456,5395,392,3,65,14, Male,No,Yes,Caucasian,955
219,10627,1647,149,2,71,10,Female,Yes,Yes,Asian,195
220,38954,5222,370,4,76,13,Female,No,No,Caucasian,653
221,44847,5765,437,3,53,13,Female,Yes,No,Asian,1246
222,98515,8760,633,5,78,11,Female,No,No,African American,1230
223,33437,6207,451,4,44,9, Male,Yes,No,Caucasian,1549
224,27512,4613,344,5,72,17, Male,No,Yes,Asian,573
225,121709,7818,584,4,50,6, Male,No,Yes,Caucasian,701
226,15079,5673,411,4,28,15,Female,No,Yes,Asian,1075
227,59879,6906,527,6,78,15,Female,No,No,Caucasian,1032
228,66989,5614,430,3,47,14,Female,No,Yes,Caucasian,482
229,69165,4668,341,2,34,11,Female,No,No,African American,156
230,69943,7555,547,3,76,9, Male,No,Yes,Asian,1058
231,33214,5137,387,3,59,9, Male,No,No,African American,661
232,25124,4776,378,4,29,12, Male,No,Yes,Caucasian,657
233,15741,4788,360,1,39,14, Male,No,Yes,Asian,689
234,11603,2278,187,3,71,11, Male,No,Yes,Caucasian,0
235,69656,8244,579,3,41,14, Male,No,Yes,African American,1329
236,10503,2923,232,3,25,18,Female,No,Yes,African American,191
237,42529,4986,369,2,37,11, Male,No,Yes,Asian,489
238,60579,5149,388,5,38,15, Male,No,Yes,Asian,443
239,26532,2910,236,6,58,19,Female,No,Yes,Caucasian,52
240,27952,3557,263,1,35,13,Female,No,Yes,Asian,163
241,29705,3351,262,5,71,14,Female,No,Yes,Asian,148
242,15602,906,103,2,36,11, Male,No,Yes,African American,0
243,20918,1233,128,3,47,18,Female,Yes,Yes,Asian,16
244,58165,6617,460,1,56,12,Female,No,Yes,Caucasian,856
245,22561,1787,147,4,66,15,Female,No,No,Caucasian,0
246,34509,2001,189,5,80,18,Female,No,Yes,African American,0
247,19588,3211,265,4,59,14,Female,No,No,Asian,199
248,36364,2220,188,3,50,19, Male,No,No,Caucasian,0
249,15717,905,93,1,38,16, Male,Yes,Yes,Caucasian,0
250,22574,1551,134,3,43,13,Female,Yes,Yes,Caucasian,98
251,10363,2430,191,2,47,18,Female,No,Yes,Asian,0
252,28474,3202,267,5,66,12, Male,No,Yes,Caucasian,132
253,72945,8603,621,3,64,8,Female,No,No,Caucasian,1355
254,85425,5182,402,6,60,12, Male,No,Yes,African American,218
255,36508,6386,469,4,79,6,Female,No,Yes,Caucasian,1048
256,58063,4221,304,3,50,8, Male,No,No,African American,118
257,25936,1774,135,2,71,14,Female,No,No,Asian,0
258,15629,2493,186,1,60,14, Male,No,Yes,Asian,0
259,414,2561,215,2,36,14, Male,No,Yes,Caucasian,0
260,33657,6196,450,6,55,9,Female,No,No,Caucasian,1092
261,67937,5184,383,4,63,12, Male,No,Yes,Asian,345
262,180379,9310,665,3,67,8,Female,Yes,Yes,Asian,1050
263,10588,4049,296,1,66,13,Female,No,Yes,Caucasian,465
264,29725,3536,270,2,52,15,Female,No,No,African American,133
265,27999,5107,380,1,55,10, Male,No,Yes,Caucasian,651
266,40885,5013,379,3,46,13,Female,No,Yes,African American,549
267,8883,4952,360,4,86,16,Female,No,Yes,Caucasian,15
268,29638,5833,433,3,29,15,Female,No,Yes,Asian,942
269,25988,1349,142,4,82,12, Male,No,No,Caucasian,0
270,39055,5565,410,4,48,18,Female,No,Yes,Caucasian,772
271,15866,3085,217,1,39,13, Male,No,No,Caucasian,136
272,44978,4866,347,1,30,10,Female,No,No,Caucasian,436
273,30413,3690,299,2,25,15,Female,Yes,No,Asian,728
274,16751,4706,353,6,48,14, Male,Yes,No,Asian,1255
275,3055,5869,439,5,81,9,Female,No,No,African American,967
276,163329,8732,636,3,50,14, Male,No,Yes,Caucasian,529
277,23106,3476,257,2,50,15,Female,No,No,Caucasian,209
278,41532,5000,353,2,50,12, Male,No,Yes,Caucasian,531
279,12804,6982,518,2,78,11,Female,No,Yes,Caucasian,250
280,54319,3063,248,3,59,8,Female,Yes,No,Caucasian,269
281,53401,5319,377,3,35,12,Female,No,No,African American,541
282,36142,1852,183,3,33,13,Female,No,No,African American,0
283,63534,8100,581,2,50,17,Female,No,Yes,Caucasian,1298
284,49927,6396,485,3,75,17,Female,No,Yes,Caucasian,890
285,14711,2047,167,2,67,6, Male,No,Yes,Caucasian,0
286,18967,1626,156,2,41,11,Female,No,Yes,Asian,0
287,18036,1552,142,2,48,15,Female,No,No,Caucasian,0
288,60449,3098,272,4,69,8, Male,No,Yes,Caucasian,0
289,16711,5274,387,3,42,16,Female,No,Yes,Asian,863
290,10852,3907,296,2,30,9, Male,No,No,Caucasian,485
291,2637,3235,268,5,78,11, Male,No,Yes,Asian,159
292,24088,3665,287,4,56,13,Female,No,Yes,Caucasian,309
293,51532,5096,380,2,31,15, Male,No,Yes,Caucasian,481
294,140672,11200,817,7,46,9, Male,No,Yes,African American,1677
295,42915,2532,205,4,42,13, Male,No,Yes,Asian,0
296,27272,1389,149,5,67,10,Female,No,Yes,Caucasian,0
297,65896,5140,370,1,49,17,Female,No,Yes,Caucasian,293
298,55054,4381,321,3,74,17, Male,No,Yes,Asian,188
299,20791,2672,204,1,70,18,Female,No,No,African American,0
300,24919,5051,372,3,76,11,Female,No,Yes,African American,711
301,21786,4632,355,1,50,17, Male,No,Yes,Caucasian,580
302,31335,3526,289,3,38,7,Female,No,No,Caucasian,172
303,59855,4964,365,1,46,13,Female,No,Yes,Caucasian,295
304,44061,4970,352,1,79,11, Male,No,Yes,African American,414
305,82706,7506,536,2,64,13,Female,No,Yes,Asian,905
306,2446,1924,165,2,50,14,Female,No,Yes,Asian,0
307,4512,3762,287,3,80,8, Male,No,Yes,Caucasian,70
308,75406,3874,298,3,41,14,Female,No,Yes,Asian,0
309,14956,4640,332,2,33,6, Male,No,No,Asian,681
310,75257,7010,494,3,34,18,Female,No,Yes,Caucasian,885
311,33694,4891,369,1,52,16, Male,Yes,No,African American,1036
312,23375,5429,396,3,57,15,Female,No,Yes,Caucasian,844
313,27825,5227,386,6,63,11, Male,No,Yes,Caucasian,823
314,92386,7685,534,2,75,18,Female,No,Yes,Asian,843
315,11552,9272,656,2,69,14, Male,No,No,African American,1140
316,14479,3907,296,3,43,16, Male,No,Yes,Caucasian,463
317,52179,7306,522,2,57,14, Male,No,No,Asian,1142
318,68462,4712,340,2,71,16, Male,No,Yes,Caucasian,136
319,18951,1485,129,3,82,13,Female,No,No,Caucasian,0
320,2759,2586,229,5,54,16, Male,No,Yes,African American,0
321,16279,1160,126,3,78,13, Male,Yes,Yes,African American,5
322,25078,3096,236,2,27,15,Female,No,Yes,Caucasian,81
323,27229,3484,282,6,51,11, Male,No,No,Caucasian,265
324,182728,13913,982,4,98,17, Male,No,Yes,Caucasian,1999
325,31029,2863,223,2,66,17, Male,Yes,Yes,Asian,415
326,17765,5072,364,1,66,12,Female,No,Yes,Caucasian,732
327,12548,10230,721,3,82,16, Male,No,Yes,Caucasian,1361
328,49166,6662,508,3,68,14,Female,No,No,Asian,984
329,41192,3673,297,3,54,16,Female,No,Yes,Caucasian,121
330,94193,7576,527,2,44,16,Female,No,Yes,Caucasian,846
331,20405,4543,329,2,72,17, Male,Yes,No,Asian,1054
332,12581,3976,291,2,48,16, Male,No,Yes,Caucasian,474
333,62328,5228,377,3,83,15, Male,No,No,Caucasian,380
334,21011,3402,261,2,68,17, Male,No,Yes,African American,182
335,2423,4756,351,2,64,15,Female,No,Yes,Caucasian,594
336,24314,3409,270,2,23,7,Female,No,Yes,Caucasian,194
337,32856,5884,438,4,68,13, Male,No,No,Caucasian,926
338,12414,855,119,3,32,12, Male,No,Yes,African American,0
339,41365,5303,377,1,45,14, Male,No,No,Caucasian,606
340,149316,10278,707,1,80,16, Male,No,No,African American,1107
341,27794,3807,301,4,35,8,Female,No,Yes,African American,320
342,13234,3922,299,2,77,17,Female,No,Yes,Caucasian,426
343,14595,2955,260,5,37,9, Male,No,Yes,African American,204
344,10735,3746,280,2,44,17,Female,No,Yes,Caucasian,410
345,48218,5199,401,7,39,10, Male,No,Yes,Asian,633
346,30012,1511,137,2,33,17, Male,No,Yes,Caucasian,0
347,21551,5380,420,5,51,18, Male,No,Yes,Asian,907
348,160231,10748,754,2,69,17, Male,No,No,Caucasian,1192
349,13433,1134,112,3,70,14, Male,No,Yes,Caucasian,0
350,48577,5145,389,3,71,13,Female,No,Yes,Asian,503
351,30002,1561,155,4,70,13,Female,No,Yes,Caucasian,0
352,6162,5140,374,1,71,9, Male,No,Yes,Caucasian,302
353,104483,7140,507,2,41,14, Male,No,Yes,African American,583
354,41868,4716,342,2,47,18, Male,No,No,Caucasian,425
355,12068,3873,292,1,44,18,Female,No,Yes,Asian,413
356,180682,11966,832,2,58,8,Female,No,Yes,African American,1405
357,3448,6090,442,3,36,14, Male,No,No,Caucasian,962
358,39609,2539,188,1,40,14, Male,No,Yes,Asian,0
359,30111,4336,339,1,81,18, Male,No,Yes,Caucasian,347
360,12335,4471,344,3,79,12, Male,No,Yes,African American,611
361,53566,5891,434,4,82,10,Female,No,No,Caucasian,712
362,53217,4943,362,2,46,16,Female,No,Yes,Asian,382
363,26162,5101,382,3,62,19,Female,No,No,African American,710
364,64173,6127,433,1,80,10, Male,No,Yes,Caucasian,578
365,128669,9824,685,3,67,16, Male,No,Yes,Asian,1243
366,113772,6442,489,4,69,15, Male,Yes,Yes,Caucasian,790
367,61069,7871,564,3,56,14, Male,No,Yes,Caucasian,1264
368,23793,3615,263,2,70,14, Male,No,No,African American,216
369,89,5759,440,3,37,6,Female,No,No,Caucasian,345
370,71682,8028,599,3,57,16, Male,No,Yes,Caucasian,1208
371,3561,6135,466,4,40,12, Male,No,No,Caucasian,992
372,39116,2150,173,4,75,15, Male,No,No,Caucasian,0
373,19782,3782,293,2,46,16,Female,Yes,No,Caucasian,840
374,55412,5354,383,2,37,16,Female,Yes,Yes,Caucasian,1003
375,294,4840,368,3,76,18,Female,No,Yes,Caucasian,588
376,20974,5673,413,5,44,16,Female,No,Yes,Caucasian,1000
377,87625,7167,515,2,46,10,Female,No,No,African American,767
378,28144,1567,142,3,51,10, Male,No,Yes,Caucasian,0
379,19349,4941,366,1,33,19, Male,No,Yes,Caucasian,717
380,53308,2860,214,1,84,10, Male,No,Yes,Caucasian,0
381,115123,7760,538,3,83,14,Female,No,No,African American,661
382,101788,8029,574,2,84,11, Male,No,Yes,Caucasian,849
383,24824,5495,409,1,33,9, Male,Yes,No,Caucasian,1352
384,14292,3274,282,9,64,9, Male,No,Yes,Caucasian,382
385,20088,1870,180,3,76,16, Male,No,No,African American,0
386,264,5640,398,3,58,15,Female,No,No,Asian,905
387,19253,3683,287,4,57,10, Male,No,No,African American,371
388,16529,1357,126,3,62,9, Male,No,No,Asian,0
389,37878,6827,482,2,80,13,Female,No,No,Caucasian,1129
390,83948,7100,503,2,44,18, Male,No,No,Caucasian,806
391,135118,10578,747,3,81,15,Female,No,Yes,Asian,1393
392,73327,6555,472,2,43,15,Female,No,No,Caucasian,721
393,25974,2308,196,2,24,10, Male,No,No,Asian,0
394,17316,1335,138,2,65,13, Male,No,No,African American,0
395,49794,5758,410,4,40,8, Male,No,No,Caucasian,734
396,12096,4100,307,3,32,13, Male,No,Yes,Caucasian,560
397,13364,3838,296,5,65,17, Male,No,No,African American,480
398,57872,4171,321,5,67,12,Female,No,Yes,Caucasian,138
399,37728,2525,192,1,44,13, Male,No,Yes,Caucasian,0
400,18701,5524,415,5,64,7,Female,No,No,Asian,966
